item_id,llm_text
38,"Movie 'Net, The (1995)', release date: 01-Jan-1995. Genres: Sci-Fi, Thriller."
39,"Movie 'Strange Days (1995)', release date: 01-Jan-1995. Genres: Action, Crime, Sci-Fi."
40,"Movie 'To Wong Foo, Thanks for Everything! Julie Newmar (1995)', release date: 01-Jan-1995. Genres: Comedy."
41,"Movie 'Billy Madison (1995)', release date: 01-Jan-1995. Genres: Comedy."
42,"Movie 'Clerks (1994)', release date: 01-Jan-1994. Genres: Comedy."
43,"Movie 'Disclosure (1994)', release date: 01-Jan-1994. Genres: Drama, Thriller."
44,"Movie 'Dolores Claiborne (1994)', release date: 01-Jan-1994. Genres: Drama, Thriller."
45,"Movie 'Eat Drink Man Woman (1994)', release date: 01-Jan-1994. Genres: Comedy, Drama."
46,"Movie 'Exotica (1994)', release date: 01-Jan-1994. Genres: Drama."
47,"Movie 'Ed Wood (1994)', release date: 01-Jan-1994. Genres: Comedy, Drama."
48,"Movie 'Hoop Dreams (1994)', release date: 01-Jan-1994. Genres: Documentary."
49,"Movie 'I.Q. (1994)', release date: 01-Jan-1994. Genres: Comedy, Romance."
50,"Movie 'Star Wars (1977)', release date: 01-Jan-1977. Genres: Action, Adventure, Romance, Sci-Fi, War."
51,"Movie 'Legends of the Fall (1994)', release date: 01-Jan-1994. Genres: Drama, Romance, War, Western."
52,"Movie 'Madness of King George, The (1994)', release date: 01-Jan-1994. Genres: Drama."
53,"Movie 'Natural Born Killers (1994)', release date: 01-Jan-1994. Genres: Action, Thriller."
54,"Movie 'Outbreak (1995)', release date: 01-Jan-1995. Genres: Action, Drama, Thriller."
55,"Movie 'Professional, The (1994)', release date: 01-Jan-1994. Genres: Crime, Drama, Romance, Thriller."
56,"Movie 'Pulp Fiction (1994)', release date: 01-Jan-1994. Genres: Crime, Drama."
57,"Movie 'Priest (1994)', release date: 01-Jan-1994. Genres: Drama."
58,"Movie 'Quiz Show (1994)', release date: 01-Jan-1994. Genres: Drama."
59,"Movie 'Three Colors: Red (1994)', release date: 01-Jan-1994. Genres: Drama."
60,"Movie 'Three Colors: Blue (1993)', release date: 01-Jan-1993. Genres: Drama."
61,"Movie 'Three Colors: White (1994)', release date: 01-Jan-1994. Genres: Drama."
62,"Movie 'Stargate (1994)', release date: 01-Jan-1994. Genres: Action, Adventure, Sci-Fi."
63,"Movie 'Santa Clause, The (1994)', release date: 01-Jan-1994. Genres: Children's, Comedy."
64,"Movie 'Shawshank Redemption, The (1994)', release date: 01-Jan-1994. Genres: Drama."
65,"Movie 'What's Eating Gilbert Grape (1993)', release date: 01-Jan-1993. Genres: Comedy, Drama."
66,"Movie 'While You Were Sleeping (1995)', release date: 01-Jan-1995. Genres: Comedy, Romance."
67,"Movie 'Ace Ventura: Pet Detective (1994)', release date: 01-Jan-1994. Genres: Comedy."
68,"Movie 'Crow, The (1994)', release date: 01-Jan-1994. Genres: Action, Romance, Thriller."
69,"Movie 'Forrest Gump (1994)', release date: 01-Jan-1994. Genres: Comedy, Romance, War."
70,"Movie 'Four Weddings and a Funeral (1994)', release date: 01-Jan-1994. Genres: Comedy, Romance."
71,"Movie 'Lion King, The (1994)', release date: 01-Jan-1994. Genres: Animation, Children's, Musical."
72,"Movie 'Mask, The (1994)', release date: 01-Jan-1994. Genres: Comedy, Crime, Fantasy."
73,"Movie 'Maverick (1994)', release date: 01-Jan-1994. Genres: Action, Comedy, Western."
74,"Movie 'Faster Pussycat! Kill! Kill! (1965)', release date: 01-Jan-1965. Genres: Action, Comedy, Drama."
75,"Movie 'Brother Minister: The Assassination of Malcolm X (1994)', release date: 01-Jan-1994. Genres: Documentary."
76,"Movie 'Carlito's Way (1993)', release date: 01-Jan-1993. Genres: Crime, Drama."
77,"Movie 'Firm, The (1993)', release date: 01-Jan-1993. Genres: Drama, Thriller."
78,"Movie 'Free Willy (1993)', release date: 01-Jan-1993. Genres: Adventure, Children's, Drama."
79,"Movie 'Fugitive, The (1993)', release date: 01-Jan-1993. Genres: Action, Thriller."
80,"Movie 'Hot Shots! Part Deux (1993)', release date: 01-Jan-1993. Genres: Action, Comedy, War."
81,"Movie 'Hudsucker Proxy, The (1994)', release date: 01-Jan-1994. Genres: Comedy, Romance."
82,"Movie 'Jurassic Park (1993)', release date: 01-Jan-1993. Genres: Action, Adventure, Sci-Fi."
83,"Movie 'Much Ado About Nothing (1993)', release date: 01-Jan-1993. Genres: Comedy, Romance."
84,"Movie 'Robert A. Heinlein's The Puppet Masters (1994)', release date: 01-Jan-1994. Genres: Horror, Sci-Fi."
85,"Movie 'Ref, The (1994)', release date: 01-Jan-1994. Genres: Comedy."
86,"Movie 'Remains of the Day, The (1993)', release date: 01-Jan-1993. Genres: Drama."
87,"Movie 'Searching for Bobby Fischer (1993)', release date: 01-Jan-1993. Genres: Drama."
88,"Movie 'Sleepless in Seattle (1993)', release date: 01-Jan-1993. Genres: Comedy, Romance."
89,"Movie 'Blade Runner (1982)', release date: 01-Jan-1982. Genres: Film-Noir, Sci-Fi."
90,"Movie 'So I Married an Axe Murderer (1993)', release date: 01-Jan-1993. Genres: Comedy, Romance, Thriller."
91,"Movie 'Nightmare Before Christmas, The (1993)', release date: 01-Jan-1993. Genres: Children's, Comedy, Musical."
92,"Movie 'True Romance (1993)', release date: 01-Jan-1993. Genres: Action, Crime, Romance."
93,"Movie 'Welcome to the Dollhouse (1995)', release date: 24-May-1996. Genres: Comedy, Drama."
94,"Movie 'Home Alone (1990)', release date: 01-Jan-1990. Genres: Children's, Comedy."
95,"Movie 'Aladdin (1992)', release date: 01-Jan-1992. Genres: Animation, Children's, Comedy, Musical."
96,"Movie 'Terminator 2: Judgment Day (1991)', release date: 01-Jan-1991. Genres: Action, Sci-Fi, Thriller."
97,"Movie 'Dances with Wolves (1990)', release date: 01-Jan-1990. Genres: Adventure, Drama, Western."
98,"Movie 'Silence of the Lambs, The (1991)', release date: 01-Jan-1991. Genres: Drama, Thriller."
99,"Movie 'Snow White and the Seven Dwarfs (1937)', release date: 01-Jan-1937. Genres: Animation, Children's, Musical."
100,"Movie 'Fargo (1996)', release date: 14-Feb-1997. Genres: Crime, Drama, Thriller."
101,"Movie 'Heavy Metal (1981)', release date: 08-Mar-1981. Genres: Action, Adventure, Animation, Horror, Sci-Fi."
102,"Movie 'Aristocats, The (1970)', release date: 01-Jan-1970. Genres: Animation, Children's."
103,"Movie 'All Dogs Go to Heaven 2 (1996)', release date: 29-Mar-1996. Genres: Animation, Children's, Musical."
104,"Movie 'Theodore Rex (1995)', release date: 29-Mar-1996. Genres: Comedy."
105,"Movie 'Sgt. Bilko (1996)', release date: 29-Mar-1996. Genres: Comedy."
106,"Movie 'Diabolique (1996)', release date: 01-Jan-1996. Genres: Drama, Thriller."
107,"Movie 'Moll Flanders (1996)', release date: 14-Jun-1996. Genres: Drama."
108,"Movie 'Kids in the Hall: Brain Candy (1996)', release date: 12-Apr-1996. Genres: Comedy."
109,"Movie 'Mystery Science Theater 3000: The Movie (1996)', release date: 19-Apr-1996. Genres: Comedy, Sci-Fi."
110,"Movie 'Operation Dumbo Drop (1995)', release date: 01-Jan-1995. Genres: Action, Adventure, Comedy, War."
111,"Movie 'Truth About Cats & Dogs, The (1996)', release date: 26-Apr-1996. Genres: Comedy, Romance."
112,"Movie 'Flipper (1996)', release date: 10-May-1996. Genres: Adventure, Children's."
113,"Movie 'Horseman on the Roof, The (Hussard sur le toit, Le) (1995)', release date: 19-Apr-1996. Genres: Drama."
114,"Movie 'Wallace & Gromit: The Best of Aardman Animation (1996)', release date: 05-Apr-1996. Genres: Animation."
115,"Movie 'Haunted World of Edward D. Wood Jr., The (1995)', release date: 26-Apr-1996. Genres: Documentary."
116,"Movie 'Cold Comfort Farm (1995)', release date: 23-Apr-1996. Genres: Comedy."
117,"Movie 'Rock, The (1996)', release date: 07-Jun-1996. Genres: Action, Adventure, Thriller."
118,"Movie 'Twister (1996)', release date: 10-May-1996. Genres: Action, Adventure, Thriller."
119,"Movie 'Maya Lin: A Strong Clear Vision (1994)', release date: 01-Jan-1994. Genres: Documentary."
120,"Movie 'Striptease (1996)', release date: 28-Jun-1996. Genres: Comedy, Crime."
121,"Movie 'Independence Day (ID4) (1996)', release date: 03-Jul-1996. Genres: Action, Sci-Fi, War."
122,"Movie 'Cable Guy, The (1996)', release date: 14-Jun-1996. Genres: Comedy."
123,"Movie 'Frighteners, The (1996)', release date: 19-Jul-1996. Genres: Comedy, Horror."
124,"Movie 'Lone Star (1996)', release date: 21-Jun-1996. Genres: Drama, Mystery."
125,"Movie 'Phenomenon (1996)', release date: 29-Jun-1996. Genres: Drama, Romance."
126,"Movie 'Spitfire Grill, The (1996)', release date: 06-Sep-1996. Genres: Drama."
127,"Movie 'Godfather, The (1972)', release date: 01-Jan-1972. Genres: Action, Crime, Drama."
128,"Movie 'Supercop (1992)', release date: 26-Jul-1996. Genres: Action, Thriller."
129,"Movie 'Bound (1996)', release date: 04-Oct-1996. Genres: Crime, Drama, Romance, Thriller."
130,"Movie 'Kansas City (1996)', release date: 16-Aug-1996. Genres: Crime."
131,"Movie 'Breakfast at Tiffany's (1961)', release date: 01-Jan-1961. Genres: Drama, Romance."
132,"Movie 'Wizard of Oz, The (1939)', release date: 01-Jan-1939. Genres: Adventure, Children's, Drama, Musical."
133,"Movie 'Gone with the Wind (1939)', release date: 01-Jan-1939. Genres: Drama, Romance, War."
134,"Movie 'Citizen Kane (1941)', release date: 01-Jan-1941. Genres: Drama."
135,"Movie '2001: A Space Odyssey (1968)', release date: 01-Jan-1968. Genres: Drama, Mystery, Sci-Fi, Thriller."
136,"Movie 'Mr. Smith Goes to Washington (1939)', release date: 01-Jan-1939. Genres: Drama."
137,"Movie 'Big Night (1996)', release date: 20-Sep-1996. Genres: Drama."
138,"Movie 'D3: The Mighty Ducks (1996)', release date: 04-Oct-1996. Genres: Children's, Comedy."
139,"Movie 'Love Bug, The (1969)', release date: 01-Jan-1969. Genres: Children's, Comedy."
140,"Movie 'Homeward Bound: The Incredible Journey (1993)', release date: 01-Jan-1993. Genres: Adventure, Children's."
141,"Movie '20,000 Leagues Under the Sea (1954)', release date: 01-Jan-1954. Genres: Adventure, Children's, Fantasy, Sci-Fi."
142,"Movie 'Bedknobs and Broomsticks (1971)', release date: 01-Jan-1971. Genres: Adventure, Children's, Musical."
143,"Movie 'Sound of Music, The (1965)', release date: 01-Jan-1965. Genres: Musical."
144,"Movie 'Die Hard (1988)', release date: 01-Jan-1988. Genres: Action, Thriller."
145,"Movie 'Lawnmower Man, The (1992)', release date: 01-Jan-1992. Genres: Action, Sci-Fi, Thriller."
146,"Movie 'Unhook the Stars (1996)', release date: 30-Oct-1996. Genres: Drama."
147,"Movie 'Long Kiss Goodnight, The (1996)', release date: 05-Oct-1996. Genres: Action, Thriller."
148,"Movie 'Ghost and the Darkness, The (1996)', release date: 11-Oct-1996. Genres: Action, Adventure."
149,"Movie 'Jude (1996)', release date: 01-Nov-1996. Genres: Drama."
150,"Movie 'Swingers (1996)', release date: 18-Oct-1996. Genres: Comedy, Drama."
151,"Movie 'Willy Wonka and the Chocolate Factory (1971)', release date: 01-Jan-1971. Genres: Adventure, Children's, Comedy."
152,"Movie 'Sleeper (1973)', release date: 01-Jan-1973. Genres: Comedy, Sci-Fi."
153,"Movie 'Fish Called Wanda, A (1988)', release date: 01-Jan-1988. Genres: Comedy."
154,"Movie 'Monty Python's Life of Brian (1979)', release date: 01-Jan-1979. Genres: Comedy."
155,"Movie 'Dirty Dancing (1987)', release date: 01-Jan-1987. Genres: Musical, Romance."
156,"Movie 'Reservoir Dogs (1992)', release date: 01-Jan-1992. Genres: Crime, Thriller."
157,"Movie 'Platoon (1986)', release date: 01-Jan-1986. Genres: Drama, War."
158,"Movie 'Weekend at Bernie's (1989)', release date: 01-Jan-1989. Genres: Comedy."
159,"Movie 'Basic Instinct (1992)', release date: 01-Jan-1992. Genres: Mystery, Thriller."
160,"Movie 'Glengarry Glen Ross (1992)', release date: 01-Jan-1992. Genres: Drama."
161,"Movie 'Top Gun (1986)', release date: 01-Jan-1986. Genres: Action, Romance."
162,"Movie 'On Golden Pond (1981)', release date: 01-Jan-1981. Genres: Drama."
163,"Movie 'Return of the Pink Panther, The (1974)', release date: 01-Jan-1974. Genres: Comedy."
164,"Movie 'Abyss, The (1989)', release date: 01-Jan-1989. Genres: Action, Adventure, Sci-Fi, Thriller."
165,"Movie 'Jean de Florette (1986)', release date: 01-Jan-1986. Genres: Drama."
166,"Movie 'Manon of the Spring (Manon des sources) (1986)', release date: 01-Jan-1986. Genres: Drama."
167,"Movie 'Private Benjamin (1980)', release date: 01-Jan-1980. Genres: Comedy."
168,"Movie 'Monty Python and the Holy Grail (1974)', release date: 01-Jan-1974. Genres: Comedy."
169,"Movie 'Wrong Trousers, The (1993)', release date: 01-Jan-1993. Genres: Animation, Comedy."
170,"Movie 'Cinema Paradiso (1988)', release date: 01-Jan-1988. Genres: Comedy, Drama, Romance."
171,"Movie 'Delicatessen (1991)', release date: 01-Jan-1991. Genres: Comedy, Sci-Fi."
172,"Movie 'Empire Strikes Back, The (1980)', release date: 01-Jan-1980. Genres: Action, Adventure, Drama, Romance, Sci-Fi, War."
173,"Movie 'Princess Bride, The (1987)', release date: 01-Jan-1987. Genres: Action, Adventure, Comedy, Romance."
174,"Movie 'Raiders of the Lost Ark (1981)', release date: 01-Jan-1981. Genres: Action, Adventure."
175,"Movie 'Brazil (1985)', release date: 01-Jan-1985. Genres: Sci-Fi."
176,"Movie 'Aliens (1986)', release date: 01-Jan-1986. Genres: Action, Sci-Fi, Thriller, War."
177,"Movie 'Good, The Bad and The Ugly, The (1966)', release date: 01-Jan-1966. Genres: Action, Western."
178,"Movie '12 Angry Men (1957)', release date: 01-Jan-1957. Genres: Drama."
179,"Movie 'Clockwork Orange, A (1971)', release date: 01-Jan-1971. Genres: Sci-Fi."
180,"Movie 'Apocalypse Now (1979)', release date: 01-Jan-1979. Genres: Drama, War."
181,"Movie 'Return of the Jedi (1983)', release date: 14-Mar-1997. Genres: Action, Adventure, Romance, Sci-Fi, War."
182,"Movie 'GoodFellas (1990)', release date: 01-Jan-1990. Genres: Crime, Drama."
183,"Movie 'Alien (1979)', release date: 01-Jan-1979. Genres: Action, Horror, Sci-Fi, Thriller."
184,"Movie 'Army of Darkness (1993)', release date: 01-Jan-1993. Genres: Action, Adventure, Comedy, Horror, Sci-Fi."
185,"Movie 'Psycho (1960)', release date: 01-Jan-1960. Genres: Horror, Romance, Thriller."
186,"Movie 'Blues Brothers, The (1980)', release date: 01-Jan-1980. Genres: Action, Comedy, Musical."
187,"Movie 'Godfather: Part II, The (1974)', release date: 01-Jan-1974. Genres: Action, Crime, Drama."
188,"Movie 'Full Metal Jacket (1987)', release date: 01-Jan-1987. Genres: Action, Drama, War."
189,"Movie 'Grand Day Out, A (1992)', release date: 01-Jan-1992. Genres: Animation, Comedy."
190,"Movie 'Henry V (1989)', release date: 01-Jan-1989. Genres: Drama, War."
191,"Movie 'Amadeus (1984)', release date: 01-Jan-1984. Genres: Drama, Mystery."
192,"Movie 'Raging Bull (1980)', release date: 01-Jan-1980. Genres: Drama."
193,"Movie 'Right Stuff, The (1983)', release date: 01-Jan-1983. Genres: Drama."
194,"Movie 'Sting, The (1973)', release date: 01-Jan-1973. Genres: Comedy, Crime."
195,"Movie 'Terminator, The (1984)', release date: 01-Jan-1984. Genres: Action, Sci-Fi, Thriller."
196,"Movie 'Dead Poets Society (1989)', release date: 01-Jan-1989. Genres: Drama."
197,"Movie 'Graduate, The (1967)', release date: 01-Jan-1967. Genres: Drama, Romance."
198,"Movie 'Nikita (La Femme Nikita) (1990)', release date: 01-Jan-1990. Genres: Thriller."
199,"Movie 'Bridge on the River Kwai, The (1957)', release date: 01-Jan-1957. Genres: Drama, War."
200,"Movie 'Shining, The (1980)', release date: 01-Jan-1980. Genres: Horror."
201,"Movie 'Evil Dead II (1987)', release date: 01-Jan-1987. Genres: Action, Adventure, Comedy, Horror."
202,"Movie 'Groundhog Day (1993)', release date: 01-Jan-1993. Genres: Comedy, Romance."
203,"Movie 'Unforgiven (1992)', release date: 01-Jan-1992. Genres: Western."
204,"Movie 'Back to the Future (1985)', release date: 01-Jan-1985. Genres: Comedy, Sci-Fi."
205,"Movie 'Patton (1970)', release date: 01-Jan-1970. Genres: Drama, War."
206,"Movie 'Akira (1988)', release date: 01-Jan-1988. Genres: Adventure, Animation, Sci-Fi, Thriller."
207,"Movie 'Cyrano de Bergerac (1990)', release date: 01-Jan-1990. Genres: Action, Drama, Romance."
208,"Movie 'Young Frankenstein (1974)', release date: 01-Jan-1974. Genres: Comedy, Horror."
209,"Movie 'This Is Spinal Tap (1984)', release date: 01-Jan-1984. Genres: Comedy, Drama, Musical."
210,"Movie 'Indiana Jones and the Last Crusade (1989)', release date: 01-Jan-1989. Genres: Action, Adventure."
211,"Movie 'M*A*S*H (1970)', release date: 01-Jan-1970. Genres: Comedy, War."
212,"Movie 'Unbearable Lightness of Being, The (1988)', release date: 01-Jan-1988. Genres: Drama."
213,"Movie 'Room with a View, A (1986)', release date: 01-Jan-1986. Genres: Drama, Romance."
214,"Movie 'Pink Floyd - The Wall (1982)', release date: 01-Jan-1982. Genres: Drama, Musical, War."
215,"Movie 'Field of Dreams (1989)', release date: 01-Jan-1989. Genres: Drama."
216,"Movie 'When Harry Met Sally... (1989)', release date: 01-Jan-1989. Genres: Comedy, Romance."
217,"Movie 'Bram Stoker's Dracula (1992)', release date: 01-Jan-1992. Genres: Horror, Romance."
218,"Movie 'Cape Fear (1991)', release date: 01-Jan-1991. Genres: Thriller."
219,"Movie 'Nightmare on Elm Street, A (1984)', release date: 01-Jan-1984. Genres: Horror."
220,"Movie 'Mirror Has Two Faces, The (1996)', release date: 15-Nov-1996. Genres: Comedy, Romance."
221,"Movie 'Breaking the Waves (1996)', release date: 15-Nov-1996. Genres: Drama."
222,"Movie 'Star Trek: First Contact (1996)', release date: 22-Nov-1996. Genres: Action, Adventure, Sci-Fi."
223,"Movie 'Sling Blade (1996)', release date: 22-Nov-1996. Genres: Drama, Thriller."
224,"Movie 'Ridicule (1996)', release date: 27-Nov-1996. Genres: Drama."
225,"Movie '101 Dalmatians (1996)', release date: 27-Nov-1996. Genres: Children's, Comedy."
226,"Movie 'Die Hard 2 (1990)', release date: 01-Jan-1990. Genres: Action, Thriller."
227,"Movie 'Star Trek VI: The Undiscovered Country (1991)', release date: 01-Jan-1991. Genres: Action, Adventure, Sci-Fi."
228,"Movie 'Star Trek: The Wrath of Khan (1982)', release date: 01-Jan-1982. Genres: Action, Adventure, Sci-Fi."
229,"Movie 'Star Trek III: The Search for Spock (1984)', release date: 01-Jan-1984. Genres: Action, Adventure, Sci-Fi."
230,"Movie 'Star Trek IV: The Voyage Home (1986)', release date: 01-Jan-1986. Genres: Action, Adventure, Sci-Fi."
231,"Movie 'Batman Returns (1992)', release date: 01-Jan-1992. Genres: Action, Adventure, Comedy, Crime."
232,"Movie 'Young Guns (1988)', release date: 01-Jan-1988. Genres: Action, Comedy, Western."
233,"Movie 'Under Siege (1992)', release date: 01-Jan-1992. Genres: Action."
234,"Movie 'Jaws (1975)', release date: 01-Jan-1975. Genres: Action, Horror."
235,"Movie 'Mars Attacks! (1996)', release date: 13-Dec-1996. Genres: Action, Comedy, Sci-Fi, War."
236,"Movie 'Citizen Ruth (1996)', release date: 13-Dec-1996. Genres: Comedy, Drama."
237,"Movie 'Jerry Maguire (1996)', release date: 13-Dec-1996. Genres: Drama, Romance."
238,"Movie 'Raising Arizona (1987)', release date: 01-Jan-1987. Genres: Comedy."
239,"Movie 'Sneakers (1992)', release date: 01-Jan-1992. Genres: Crime, Drama, Sci-Fi."
240,"Movie 'Beavis and Butt-head Do America (1996)', release date: 20-Dec-1996. Genres: Animation, Comedy."
241,"Movie 'Last of the Mohicans, The (1992)', release date: 01-Jan-1992. Genres: Action, Romance, War."
242,"Movie 'Kolya (1996)', release date: 24-Jan-1997. Genres: Comedy."
243,"Movie 'Jungle2Jungle (1997)', release date: 07-Mar-1997. Genres: Children's, Comedy."
244,"Movie 'Smilla's Sense of Snow (1997)', release date: 14-Mar-1997. Genres: Action, Drama, Thriller."
245,"Movie 'Devil's Own, The (1997)', release date: 26-Mar-1997. Genres: Action, Drama, Thriller, War."
246,"Movie 'Chasing Amy (1997)', release date: 01-Jan-1997. Genres: Drama, Romance."
247,"Movie 'Turbo: A Power Rangers Movie (1997)', release date: 28-Mar-1997. Genres: Action, Adventure, Children's."
248,"Movie 'Grosse Pointe Blank (1997)', release date: 11-Apr-1997. Genres: Comedy, Crime."
249,"Movie 'Austin Powers: International Man of Mystery (1997)', release date: 02-May-1997. Genres: Comedy."
250,"Movie 'Fifth Element, The (1997)', release date: 09-May-1997. Genres: Action, Sci-Fi."
251,"Movie 'Shall We Dance? (1996)', release date: 11-Jul-1997. Genres: Comedy."
252,"Movie 'Lost World: Jurassic Park, The (1997)', release date: 23-May-1997. Genres: Action, Adventure, Sci-Fi, Thriller."
253,"Movie 'Pillow Book, The (1995)', release date: 13-Jun-1997. Genres: Drama, Romance."
254,"Movie 'Batman & Robin (1997)', release date: 20-Jun-1997. Genres: Action, Adventure, Crime."
255,"Movie 'My Best Friend's Wedding (1997)', release date: 20-Jun-1997. Genres: Comedy, Romance."
256,"Movie 'When the Cats Away (Chacun cherche son chat) (1996)', release date: 20-Jun-1997. Genres: Comedy, Romance."
257,"Movie 'Men in Black (1997)', release date: 04-Jul-1997. Genres: Action, Adventure, Comedy, Sci-Fi."
258,"Movie 'Contact (1997)', release date: 11-Jul-1997. Genres: Drama, Sci-Fi."
259,"Movie 'George of the Jungle (1997)', release date: 01-Jan-1997. Genres: Children's, Comedy."
260,"Movie 'Event Horizon (1997)', release date: 01-Jan-1997. Genres: Action, Mystery, Sci-Fi, Thriller."
261,"Movie 'Air Bud (1997)', release date: 01-Aug-1997. Genres: Children's, Comedy."
262,"Movie 'In the Company of Men (1997)', release date: 01-Aug-1997. Genres: Drama."
263,"Movie 'Steel (1997)', release date: 15-Aug-1997. Genres: Action."
264,"Movie 'Mimic (1997)', release date: 22-Aug-1997. Genres: Sci-Fi, Thriller."
265,"Movie 'Hunt for Red October, The (1990)', release date: 01-Jan-1990. Genres: Action, Thriller."
266,"Movie 'Kull the Conqueror (1997)', release date: 29-Aug-1997. Genres: Action, Adventure."
267,"Movie 'unknown', release date: nan. Genres: unknown."
268,"Movie 'Chasing Amy (1997)', release date: 01-Jan-1997. Genres: Drama, Romance."
269,"Movie 'Full Monty, The (1997)', release date: 01-Jan-1997. Genres: Comedy."
270,"Movie 'Gattaca (1997)', release date: 01-Jan-1997. Genres: Drama, Sci-Fi, Thriller."
271,"Movie 'Starship Troopers (1997)', release date: 01-Jan-1997. Genres: Action, Adventure, Sci-Fi, War."
272,"Movie 'Good Will Hunting (1997)', release date: 01-Jan-1997. Genres: Drama."
273,"Movie 'Heat (1995)', release date: 01-Jan-1995. Genres: Action, Crime, Thriller."
274,"Movie 'Sabrina (1995)', release date: 01-Jan-1995. Genres: Comedy, Romance."
275,"Movie 'Sense and Sensibility (1995)', release date: 01-Jan-1995. Genres: Drama, Romance."
276,"Movie 'Leaving Las Vegas (1995)', release date: 01-Jan-1995. Genres: Drama, Romance."
277,"Movie 'Restoration (1995)', release date: 01-Jan-1995. Genres: Drama."
278,"Movie 'Bed of Roses (1996)', release date: 01-Jan-1996. Genres: Drama, Romance."
279,"Movie 'Once Upon a Time... When We Were Colored (1995)', release date: 01-Jan-1995. Genres: Drama."
280,"Movie 'Up Close and Personal (1996)', release date: 01-Mar-1996. Genres: Drama, Romance."
281,"Movie 'River Wild, The (1994)', release date: 01-Jan-1994. Genres: Action, Thriller."
282,"Movie 'Time to Kill, A (1996)', release date: 13-Jul-1996. Genres: Drama."
283,"Movie 'Emma (1996)', release date: 02-Aug-1996. Genres: Drama, Romance."
284,"Movie 'Tin Cup (1996)', release date: 16-Aug-1996. Genres: Comedy, Romance."
285,"Movie 'Secrets & Lies (1996)', release date: 04-Oct-1996. Genres: Drama."
286,"Movie 'English Patient, The (1996)', release date: 15-Nov-1996. Genres: Drama, Romance, War."
